Symbol,Retinal_Cell_Type_Rob,Notes_on_Evidence_Source_Cell_Type
Uqcc2,,
2010308F09Rik,,
Snord83b,,
H2-Ab1,"RGC candidate, stress",
Gm28869,,
Mark4,RGC candidate,BXD_Thy1_Cov
Eif2b5,,
Tonsl,,
Pkmyt1,,
Map4k5,,
Samd9l,,
Dynlt1b,,
Gm13710,,
1700021K19Rik,,
P2ry13,"Microglia, retinal stress",SY adult sc_RNA-seq cluster 32 high = microglia
Zc3h4,,
Nfkbie,,
Mta2,,
Traf7,,
Uqcr11,"RGC prime candidate, stress",High RGC enriched expression relative whole retina in Geisert data.  HIgh RGC expression in Pete Williams and stress-up response.
Emc10,,
Mir6984,,
Mrps24,RGC candidate Dec18,
Desi1,,
Gclc,,
Bcl2a1b,"Microglia, retinal stress",SY adult sc_RNA-seq cluster 32 high = microglia
Bco2,RGC master,Rheaume RGC_Type_1
Ufl1,,
Lipt1,,
Csnk2b,,
Gnaq,Housekeeping,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Afap1,,
Hint3,,
Snw1,,
Nrros,,
Eny2,,
Rabac1,"RGC candidate, stressed",BXD_Thy1_Cov.m  HIgh RGC expression in Pete Williams and stress-up response.
Tmem214,,
Dnaja2,,
Gm26674,,
Opn1mw,"Photoreceptor, cone",
Srd5a1,,
Fbl,,
Sardh,,
Mir22hg,,
Fech,,
Arhgef4,,
Rpgrip1,"Photoreceptor, rod",GeneWiki
Snora70,RGC prime candidate,Very high RGC/retina ratio
Cenpq,,
RP23-463H10.2,,
Itgb1bp1,,
Ypel1,,
Efhd1os,RGC high THY/CD ratio,RGC high THY/CD ratio
Mob1a,,
Gm23741,,
Mtm1,,
Coro1b,RGC candidate,BXD_Thy1_Cov
Rab14,RGC candidate Dec18,
2210408F21Rik,,
Bex6,,
Insl6,,
E330011M16Rik,,
Ndufa6,,
C130060C02Rik,SY_informative,SY_informative
Rpl28,"Housekeeping, stress, RGC","RGC candidate, stressed"
Tmsb10,"Bipolar, amacrine, RGC","Geisert, Macosko"
Zbtb20,"Housekeeping, bipolar",
Esrrb,RGC master,RGC_Type_19 
Bnip2,,
Dusp18,"RGC high THY/CD ratio, stress","RGC high THY/CD ratio, Howell shows higher expression in D2 retina glaucoma whan wildtype GPNMB as early stages"
D830026I12Rik,,
Atg12,,
Tapbp,,
Tnfsfm13,,
Tex12,,
Prdx2,"RGC candidate, stressed",
Zfp219,,
5-Mar,,
Gm29609,,
Furin,,
Cd14,"Microglia, retinal stress",
Npr2,,
Ptger1,,
Gm20483,,
Arrb2,,
Rhbdf1,,
Gm26590,RGC candidate Dec18,
Snora65,,
Arl3,,
Rab11a,,
Usp9x,,
Sec24c,RGC candidate,BXD_Thy1_Cov
Sec24c,,
Gm38033,,
Mroh6,,
Slc13a2os,,
mt-Co1,"Mitochondrial, housekeeping",SY_informative
Polr2e,,
RP24-253I2.4,,
Psmb1,"RGC candidate, stressed",
Ndfip1,RGC candidate Dec18,
Med16,RGC candidate,BXD_Thy1_Cov
Tprkb,,
Galnt11,,
Zfp706,,
Glrb,RGC candidate,Very high correlation with RGC master PC1 eigengene (r = 0.95)
Bloc1s5,,
Polr2h,,
Rplp1,"RGC housekeeping stress, miroglia",High positive covariation with ATF4 in D2 glaucoma data of Pete Williams. High RGC/retina enrichment in Geisert.  HIgh RGC expression in Pete Williams and stress-up response.
Snrpd2,"RGC candidate, stressed",
Tgoln1,,
Ganab,,
Men1,RGC candidate,"Geisert, High covariation with NF eigengene"
Golga1,,
Sod1,"RGC candidate, stressed",
Sertad2,,
1700109H08Rik,,
Gjb6,"RGC candidate, stress, microglia, endothelium, fibroblast",
Meis1,RGC candidate,"Geisert, Wiki_RGC"
Snapc5,,
Trim26,,
Sar1a,RGC candidate,BXD_Thy1_Cov
Gm21992,,
Xrcc6,,
Mir6922,,
Rasl11b,,
Use1,,
Ubb,"RGC housekeeping, stress",
Impg2,,
Itsn2,,
Ptpn12,,
Thoc7,RGC candidate Dec18,
U2af1l4,,
Hk1,"RGC candidate, stressed",
1700112J05Rik,,
Mcat,RGC high THY/CD ratio,RGC high THY/CD ratio
Asah1,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Gm1110,,
mmu-mir-5121,RGC candidate Dec18,
F730043M19Rik,,
Creg2,,
Ak3,,
Oard1,,
Antxr1,"RGC candidate, stress",
Foxn1,,
Klf1,,
4930481A15Rik,,
Agbl3,,
Rmdn2,,
Ypel5,,
Syvn1,,
Scrib,,
Gltscr2,,
Gm11100,"RGC master, amacrine",RGC_Type_37
Tfam,,
Tead2,,
Rasgrp2,,
Nlgn1,Housekeeping,
Oaz1,,
Inpp1,,
Gm27801,RGC high THY/CD ratio,"SY_informative, RGC high THY/CD ratio"
Sptbn1,"Endothelium, pericyte",
Sgk3,Unknown,
Cmss1,Housekeeping,
Bax,,
Mrps18b,,
Malsu1,,
Fbxw2,,
Hist1h3d,RGC high THY/CD ratio,good THY1/CD15 ratio
Osgep,,
Ss18,,
Snord100,RGC prime candidate,High RGC enriched expression relative whole retina in Geisert data
Hapln3,,
Rps16,"RGC candidate, stressed",High positive covariation with ATF4 in D2 glaucoma data of Pete Williams. High RGC/retina enrichment in Geisert.  HIgh RGC expression in Pete Williams and stress-up response.
Gm16793,,
Galnt1,,
Gm26699,,
Gtf3c2,RGC candidate Dec18,
Aes,"RGC candidate, stressed",
Serhl,,
Sdc2,Fibroblast,
Dhx40,,
Skp1a,Housekeeping,
Mpc1,"RGC mixed, stresed, horizontal",Moderate RGC expression in Pete Williams and stress-up response.
Gm15545,,
Gm20878,,
Bmp1,,
9330136K24Rik,,
Pih1d2,,
Lins,,
Pigs,,
Rps18,"RGC candidate, stressed",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Aif1,"RGC candidate, stress, microglia, macrophage",
Mtpn,,
Mrps33,,
Snord35a,RGC prime candidate,High RGC enriched expression relative whole retina in Geisert data
Zc3h7b,RGC candidate,BXD_Thy1_Cov
Tceb2,"RGC prime candidate, stress",High RGC enriched expression relative whole retina in Geisert data.  HIgh RGC expression in Pete Williams and stress-up response.
Zfp677,,
Snord42a,Housekeeping,
Mrln,,
Syngr4,,
Pla2g12b,,
Taf7,,
Csnk1g2,,
Smek2,,
H2-Q7,,
Mbd1,,
Rps6,"RGC candidate, stressed",
Rbx1,,
Ccdc55,,
Snord4a,,
A930016O22Rik,,
Anxa7,,
Mrpl21,,
Eno3,,
E2f5,,
Ndufa2,"RGC candidate, mitochondrial stress",
Cc2d2a,,
Rps27,Housekeeping,
9530077C05Rik,RGC master,RGC_Type_11
Bnip3l,RGC candidate Dec18,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Mapk15,,
Tspan7,Amacrine,Geisert
1600014C23Rik,,
Hipk2,,
Tacc3,,
Klf13,Horizontal,
Dennd4b,,
Snord33,,
Oit3,,
A830092H15Rik,RGC high THY/CD ratio,RGC high THY/CD ratio
Dgcr2,,
Pygo2,,
Cyp51,,
Spg20,,
Nolc1,,
Snord93,,
Jmjd1c,,
Hjurp,,
4930558J22Rik,RGC high THY/CD ratio,RGC high THY/CD ratio
Lmna,,
Babam1,,
Prr12,,
Map3k7,,
Cebpz,,
Ppard,,
Mtx1,,
RP23-177J21.15,,
Tom1l1,,
RP23-333I12.3,,
Gm29439,,
Tmed9,,
Sar1b,RGC candidate Dec18,
Cables1,,
Tlcd1,Unknown,"SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75, SY_informative "
Pcdhgb4,,
Mir7067,Housekeeping,
Gadd45a,,
Ntf5,,
Gm20427,RGC prime candidate,"SY TSNE cluster 64L contains 4 MHC H2 transcripts (PFDN6 + 3), DAXX (cell death), RING1 (cell stress, neurodevelopment), WDR46, SLC39A7 (zinc, stress)"
Bap1,,
Srsf1,,
Kifc5b,,
Mir6973a,"Microglia, macrophage, retinal stress",
2810049E08Rik,,
1600012H06Rik,,
2310011J03Rik,,
Mir7046,,
Reep5,"RGC mixed, amacrine, horizontal",Geisert and Pinelli (high correlation with NEFH)
Hdgf,,
Vdac2,,
Cyp26a1,,
Ywhaz,RGC reference,"Geisert highly RGC enriched expression relative whole retina, Wiki_RGC, Ivanov, perhaps not specific enough to be RGC reference, very high SC hit rate, not confirmed in Macosko"
Il11ra1,,
Slc41a3,,
Nelfb,,
Rgs3,"RGC candidate, stress, horizontal",
Crtc3,,
Actl6a,,
Hgsnat,,
1810011O10Rik,RGC master,RGC_Type_31
Rock2,,
Il17d,,
Kdm6b,,
Cript,,
Man1b1,,
Parl,,
Gm12043,,
Rnf103,,
Gm28119,,
Tomm22,RGC candidate Dec18,
Hdhd2,,
Commd2,,
Pcyox1,,
Robo3,RGC high THY/CD ratio,RGC high THY/CD ratio
Gm26742,,
Phf7,,
Mrps34,,
Pnp2,,
Ruvbl1,,
Gstz1,,
Snord42b,,
Dpy19l4,RGC candidate,BXD_Thy1_Cov
Slc22a20,,
mmu-mir-7092,,
Pyurf,,
Prpf18,,
Ebp,,
Rab43,,
Upf3a,,
3110039M20Rik,RGC high THY/CD ratio,RGC high THY/CD ratio
Fam120a,,
Pcyt1a,,
5430402O13Rik,,
Hunk,Amacrine,
Snora78,,
Gm28374,,
Pcdhga7,,
3110035E14Rik,RGC high THY/CD ratio,RGC high THY/CD ratio
Gm9958,,
Mpp5,,
Nudt13,,
AC147560.1,,
Stk17b,,
Gli3,,
Rbfa,,
Mrpl33,RGC candidate Dec18,
Nxf1,,
Hspa5,"RGC candidate, stress",
Fam204a,,
Ankub1,,
Phip,,
Parp9,,
Rhobtb3,,
Coa5,,
Paqr4,"Photoreceptor, mixed",Pinelli 2016 in situ
Ykt6,,
2610507B11Rik,,
Zfp879,,
Plekhg1,,
Tnf,"Microglia, macrophage, retinal stress",
Ceacam16,,
Renbp,,
2810408A11Rik,,
Gng12,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Snhg9,,
Npas3,,
Ubtd1,,
Cic,RGC candidate,BXD_Thy1_Cov
Chmp2a,,
Rfk,,
Aasdhppt,,
Srpr,,
Tug1,"Photoreceptor, smooth muscle","SY TSNE cluster 13L; only Tug1 and Smtn and 4 GM genes, critical for photoreceptors development; smoothelin associated with smooth muscle"
H2-K1,"RGC candidate, stress, microglia","SY TSNE cluster 64L contains 4 MHC H2 transcripts (PFDN6 + 3), DAXX (cell death), RING1 (cell stress, neurodevelopment), WDR46, SLC39A7 (zinc, stress). Conflict with Macosko who tag as microglial signature, but SC-RNA-Seq suggests RGC. Geisert strong RGC ratio enrichment"
Rps15,"RGC candidate, stressed",High positive covariation with ATF4 in D2 glaucoma data of Pete Williams. Very high RGC/retina enrichment in Geisert. SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75.  HIgh RGC expression in Pete Williams and stress-up response.
Tmem136,,
Pcdhga9,,
1110012L19Rik,,
Pigq,RGC candidate,BXD_Thy1_Cov
Mgat1,,
Atp6v1g1,RGC candidate Dec18,
Rpl18a,"RGC housekeeping, stress",High positive covariation with ATF4 in D2 glaucoma data of Pete Williams. High RGC/retina enrichment in Geisert. SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75.  HIgh RGC expression in Pete Williams and stress-up response.
Snord37,,
Noc3l,,
Ctc1,,
Tceb1,,
Birc3,,
Lcn2,,
Zc3h7a,RGC housekeeping,"Highly enriched RGC expression relative whole retina in Geisert data, Wiki_RGC,  RGC mixeed non-specific"
Pcdhgb6,,
Srd5a3,,
Zbtb16,,
Tcaf2,,
Rrnad1,,
AF357399,,
4932443I19Rik,,
Pycrl,,
Cabp7,,
Pcdhgb5,,
Rpl23a,"RGC housekeeping, stressed","Highly enriched RGC expression relative whole retina in Geisert data, SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75.  HIgh RGC expression in Pete Williams and stress-up response."
Pcdhgb8,,
Rcbtb1,,
Fkbp2,,
Ajuba,,
4732487G21Rik,,
Ssbp1,,
Pin1,,
Pcdhga12,,
Bloc1s4,,
Oaz2,Pericyte,
Rab12,,
Zfp26,,
Snora68,RGC prime candidate,High RGC enriched expression relative whole retina in Geisert data
Dpcd,"RGC candidate, stressed",
Hcfc1r1,,
Sptlc1,,
Hist1h2bj,,
Zfp623,,
9430069I07Rik,,
Rrp7a,,
Card9,,
Rps24,Housekeeping,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Mir874,,
7-Mar,,
Stambp,,
Gm20518,,
Trmt2a,,
Hmbs,,
Gipr,,
Aamp,,
Senp3,,
Rps2,"RGC candidate, stressed",
Clcn5,,
Ubxn2b,,
Chmp3,RGC candidate Dec18,
Slc35a2,,
Snhg4,,
Ccdc94,,
Tmem123,,
Ssb,,
Ildr1,,
Atp5j,"RGC candidate, mitochondrial stress",
Snord73a,,
Larp4b,,
Tbce,,
4931406C07Rik,,
H2afy,RGC candidate Dec18,
Adrbk1,RGC candidate,BXD_Thy1_Cov 
Nsmaf,,
Snora33,,
Rnu73b,,
Capg,,
Rpl3,"RGC candidate, stressed",
Glt8d1,RGC candidate Dec18,
1810062O18Rik,,
Ccdc110,,
Pold4,,
Gm21982,,
Csnk1a1,,
4930556J24Rik,,
Pdcl,,
AI597479,,
Hltf,,
Dvl3,,
Slc27a3,,
Acad9,,
Snord34,RGC prime candidate,High RGC enriched expression relative whole retina in Geisert data
Impa1,,
Armc2,RGC master,RGC_Type_11
Gm10814,,
Mapk8ip3,,
Fam228a,,
Gm13620,,
Slc17a8,"RGC master, amacrine","Conflict with Rheaume, RGC_Type_32, Amacrine, glutamatergic,  Macosko 2015 Amacrine"
Zdhhc6,,
Tnfsf12,,
Cars2,,
Arhgap32,,
Uqcrfs1,,
Morf4l1,,
H2-Q6,,
Lamp2,Astrocyte,
Gm5464,,
Ccdc127,,
Rnf20,,
Pcdhga11,,
Rraga,,
Rps12,"RGC candidate, stressed",
BC005537,Unknown,
Pes1,,
Mtfr1,,
Mir692-1,,
Hspa9,,
Tsc2,,
Rpl10,"RGC candidate, stressed",
Cct3,,
Acat2,RGC candidate,Pinelli high correlation with TUBB3
Ralgds,RGC candidate,BXD_Thy1_Cov
Snapc2,,
Rbm20,RGC master,RGC_Type_16
A630077J23Rik,,
Supt20,,
Mrpl13,RGC candidate Dec18,
Zfp595,,
C330006A16Rik,,
Gm5083,,
Fam219a,,
Ccdc126,,
Fam103a1,,
Top3b,,
Tmem160,,
Rpl4,"RGC candidate, stressed",
Gm10787,RGC high THY/CD ratio,RGC high THY/CD ratio
Rps27a,Housekeeping,RGC candidate Dec18
Med31,,
Gsn,,
Irf3,,
Add1,,
1810012K08Rik,,
Saraf,,
Spata3,,
Rfc1,,
Kmt2a,Housekeeping,
Abca2,,
Prkcq,RGC master,
2-Mar,"RGC candidate, stress",
1700064H15Rik,,
Gm28635,,
Klf11,,
Ormdl1,,
Eif2b2,"RGC prime candidate, stress",High covariation with Tubb3. Moderate RGC expression in Pete Williams and stress-up response.
Yif1a,,
Gm37969,,
Krtdap,,
Gm20521,,
Gm15934,,
Kidins220,,
Lrpap1,Astrocyte,
Arl6,,
Srsf3,RGC candidate Dec18,
Ly86,"RGC candidate, stress, microglia",Macosko as microglia marker
Puf60,,
mt-Tq,Mitochondrial,SY_informative
BE692007,,
Calcrl,,
Hn1l,,
Plin2,,
Slc43a3,,
Prdx5,,
Pcdhgb7,,
Ube2e1,,
Tra2a,,
Zfp942,,
Gm10197,,
Dcpp2,,
Rpl37a,"RGC housekeeping, stress",
Flot2,,
Zfp672,,
Ltn1,,
Wdr89,,
Pcdhga10,,
Osgepl1,,
Clk1,,
Asb7,,
Socs5,,
Ifih1,,
Abi3bp,Fibroblast,
Dusp19,,
Mpg,,
Rsph3b,,
Snx6,,
Ruvbl2,,
Rnf139,,
Pgls,,
Dcaf13,,
Ldhal6b,,
Hars2,,
Dtx4,"RGC candidate, stress",
Dirc2,,
Ptgr2,,
Pcdhga6,,
RP23-353E8.7,,
Fam118b,,
Gm10941,RGC candidate,RGC_Type_32
Mmadhc,,
Pcp2,"RGC master, bipolar","Conflict with Rheaume, strong bipolar cell marker of Macosko. Rheaume RGC marker, Berrebi et al., 1991"
Rpl37,"Housekeeping, stress, RGC",
Gm37397,,
Mir6974,"Microglia, macrophage, retinal stress",
Gas2l1,,
Mir7054,,
Fkbp14,,
1110038F14Rik,,
Prosc,,
Emc9,Horizontal,
Mplkip,,
Gm16181,"Microglia, macrophage, retinal stress",
Dek,,
Svil,,
Dpysl5,RGC candidate,BXD_Thy1_Cov
Natd1,,
Mir5136,,
Mrs2,,
Grpel1,,
Htatsf1,RGC candidate Dec18,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Ccs,,
Bak1,,
Idi1,,
Gm28035,,
Tmem95,,
Slc25a15,,
Akirin2,,
Prrg2,,
Zfp260,,
Tbc1d10c,,
Cnot3,RGC candidate Dec18,
Abhd16a,RGC candidate,"Geisert, High covariation with NF eigengene"
Vta1,,
Zfp51,,
1700123O20Rik,,
Pbx2,,
Mpdu1,,
Pfkp,Bipolar,
Gm14493,,
Gm16268,,
Dnajb11,,
Arpc2,Endothelium,
Ift20,"RGC candidate, mixed, bipolar",
D5Ertd579e,,
Hk1os,,
Gm21989,,
Nsdhl,,
Mir21a,,
Sgsm2,,
Chchd10,,
Gm27883,,
B230354K17Rik,,
Mrpl28,,
Fam173a,,
Cpd,,
Hist1h3c,RGC high THY/CD ratio,RGC high THY/CD ratio
Snord7,,
Pigx,,
Midn,RGC candidate,BXD_Thy1_Cov
Pcdhb8,,
Sec11a,,
Gm10143,,
Pik3ip1,,
Tmem199,,
Mtap7d3,,
Twsg1,,
Zfp110,,
Rreb1,,
Mgat4d,,
Pcdhga8,,
Pomk,,
RP23-92M3.4,,
Ldha,Housekeeping,
Ddx6,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Hnrnpul1,,
Snord72,RGC housekeeping,High RGC enriched expression relative whole retina in Geisert data
Slc35a1,,
Slc29a3,,
Dock5,Amacrine,Geisert covaries with Chat
Crebzf,,
A830082K12Rik,,
Gm10644,,
Ncoa1,Housekeeping,
Flnb,,
Gm28402,,
Irgm2,"RGC candidate, stress",
Mpeg1,"Microglia, retinal stress",
Foxp4,RGC candidate,BXD_Thy1_Cov
Zkscan3,,
Scgb3a1,RGC high THY/CD ratio,RGC high THY/CD ratio
Rbm46,,
Ankrd23,,
Smim3,,
Tada2b,,
Plagl1,"RGC candidate, stressed",
Loxl3,,
Kctd1,,
Kbtbd2,,
Smc3,,
Sft2d1,,
Sp3os,,
Cul4a,,
Nedd4,Housekeeping,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Proser3,,
Toporsos,,
Stox2,,
Fastkd3,,
Klhl25,,
Ikbkb,,
Gm15344,,
Pcdhgb2,Housekeeping,
Pank3,,
Clpx,,
Pabpn1,RGC candidate,BXD_Thy1_Cov
Ranbp1,,
Mir6956,,
Ppan,,
Casp2,,
2610528A11Rik,,
Zfp429,,
Rps14,"Housekeeping, stress",High positive covariation with ATF4 in D2 glaucoma data of Pete Williams. Very high RGC/retina enrichment in Geisert. SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75.  HIgh RGC expression in Pete Williams and stress-up response.
Myo9b,,
Enkur,,
Gm11906,,
Cetn3,,
Med29,,
Nop9,,
Homer3,,
Pex1,,
Ubac1,,
Glp1r,,
Ccpg1,,
Zcchc6,,
Siah1a,,
Ppp1r2,,
BC023829,,
Spint2,"RGC candidate, stress",
Nr1d2,,
Samd1,,
Hif1an,,
Fam219aos,,
Rpl24,Housekeeping,
D2Wsu81e,,
Tjp2,,
Shisa8,,
Mir6908,,
Hist1h2ad,,
Rnf144b,,
Mir1933,,
Daam2,,
Etohd2,,
Gm5577,,
Haus7,,
2900076A07Rik,,
Birc2,,
2410015M20Rik,,
Capn1,RGC candidate,"HSA_ThyRbpms_Cov,  "
Mkln1,Housekeeping,
Gm3448,,
Rpl9,"RGC candidate, stressed",
Gm20683,,
Ppp1r14b,,
Glis2,,
Gm22643,,
Rpl12,"RGC candidate, stressed",High positive covariation with ATF4 in D2 glaucoma data of Pete Williams. Moderately high RGC/retina enrichment in Geisert. SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75.  HIgh RGC expression in Pete Williams and stress-up response.
Gm29017,,
2310030G06Rik,,
Sorcs2,,
1810030O07Rik,,
Stard3nl,,
Pcdhga1,Housekeeping,
Nol7,,
Zfpl1,,
Bcat2,,
Slc25a32,,
Mapk14,,
Plscr3,"RGC candidate, stress",
Mapk9,,
Pcdhga5,Housekeeping,
Mrpl24,,
Hist1h3e,RGC high THY/CD ratio,RGC high THY/CD ratio
Snord89,,
B3gat3,,
Bmpr1a,"RGC prime candidate, stress","Enriched RGC  expression relative whole retina in Geisert data, Pinelli high correlation with TUBB3.  HIgh RGC expression in Pete Williams and stress-down response."
Gm13267,,
Slc25a40,,
Ncl,,
Luzp2,,
Cdk6,"RGC prime candidate, stress","Very high and selective expression in a subset of axons in the optic tract (regional) with strong terminal in pretectum, but not in LGN or the superior colliculus in GENSAT. Amazing pattern. Moderate RGC/retina enrichment and moderate whole retina expression. Great candidate for validation.  HIgh RGC expression in Pete Williams and stress-down response."
Med20,,
Pole4,,
1700001L19Rik,,
Gm5148,,
Gm17104,RGC candidate,
Tatdn1,,
Mab21l2,"Horizontal, fibroblast",
Cyb561a3,,
Map4k4,Astrocyte,
Tnfsf13os,,
4932418E24Rik,,
H2-D1,Mixed,SY_informative
Gm15491,,
Lacc1,"RGC master, microglia","Conflict with Rheaume, their RGC_Type_11, RGC candidate based on gene expression, but in the final analysis in a tight  microglia cluster based on SY adult scRNAseq data, cluster 59 high"
Gm28037,Housekeeping,
Palld,,
Poli,,
Slc11a1,,
Mir324,,
Tnrc6b,Unknown,SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Gm27457,,
Unc13b,Unknown,
Supt4a,RGC candidate Dec18,
Plekhg2,,
Sardhos,,
Gm26904,Housekeeping,
Tab2,,
Ccl27a,,
Fem1a,,
Ppm1f,,
Loxl1,,
Siae,RGC candidate,"HSA_ThyRbpms_Cov,  "
Gm10645,RGC high THY/CD ratio,RGC high THY/CD ratio
Dkc1,,
Gm17606,,
Gm15518,,
Gpatch11,,
A930007I19Rik,,
Gm16861,,
Snrpd3,,
Ubl5,"RGC candidate, mitochondrial stress",SC-RNA-Seq and independent GeneNetwork RGC covariate with BXD Trait 18436 r ~0.75
Rpl8,"RGC candidate, stressed",
Rinl,,
Bcl2l12,,
Swi5,,
Acap1,,
Pcdhga4,Housekeeping,
Pcdhgb1,Housekeeping,
Reep4,,
Uvssa,Unknown,
Zmat2,,
Dyx1c1Ccpg1,,
Stoml2,,
Sptan1,,
Cpb1,,
Ccl6,"Microglia, retinal stress",
Pcdhga2,Housekeeping,
Sod2,,
Tmem11,,
Zmym5,,
4632428N05Rik,Microglia,SY adult sc_RNA-seq cluster 32 high = microglia
BC068281,,
Jmjd4,,
Ndufaf7,,
Srp19,,
Mrps28,,
Pcdhb18,,
Halr1,SY_informative,SY_informative
Haghl,,
H2-Q5,,
Cmc4,,
Kmt2b,,
Mdp1,,
Tbc1d14,,
Pcdhga3,Housekeeping,
Adgrg6,RGC master,RGC_Type_23
Gsk3a,RGC candidate,BXD_Thy1_Cov
Btg3,,
Bglap3,,
Gm12171,,
Pid1,RGC candidate,HSA_ThyRbpms_Cov
Gm37829,,
Tmx1,,
Dnajb12,,
Tmem14c,,
Gm15829,,
Gm26873,,
AI464131,,
Zfp60,,
Gas7,Amacrine,
Gm15527,,
Lonp2,RGC candidate Dec18,
Set,Unknown,
Erlin2,,
Hist1h2ab,RGC high THY/CD ratio,RGC high THY/CD ratio
Ppp2ca,"RGC candidate, stressed",
Gm9725,,
Zfp809,,
Etfa,RGC candidate,BXD_Thy1_Cov
mmu-mir-9-1,"RGC candidate, stressed","SY TSNE cluster 47L contains MEF2D (immune response etc), IQGAP3 (cancer and proliferation)"
RP23-446E21.6,RGC high THY/CD ratio,RGC high THY/CD ratio
Ccdc61,,
Lca5,,
Olfr71,,
Lrp2,,
Gm26775,,
Zfp286,,
Apom,"Microglia, macrophage, retinal stress",
Tpsab1,,
Pigh,,
R3hdm4,,
Mapre3,,
Cep162,,
BC049762,RGC high THY/CD ratio,RGC high THY/CD ratio
Ash2l,,
Eif4g1,,
Prpf4b,,
Pofut2,,
Kcna7,,
Ggh,,
Bcam,,
mmu-mir-5046,,
Ccdc107,,
Smim4,,
Exoc6,,
Plekhg3,,
Hcfc1,,
Nup37,,
Ovca2,,
Mir30c-2,,
Mir1968,,
Pard3b,RGC candidate Dec18,
Mrps16,,
Eif5b,,
Kdm3a,,
Ccdc157,,
Endog,,
Sphk2,,
Ly6g5c,"Microglia, macrophage, retinal stress",
Eef2kmt,,
F730035M05Rik,,
1810022K09Rik,RGC candidate Dec18,
Gm25641,"RGC candidate, stressed","SY TSNE cluster 47L contains MEF2D (immune response etc), IQGAP3 (cancer and proliferation)"
Cct7,RGC candidate Dec18,
Thg1l,,
Rala,,
Trappc10,RGC prime candidate,High covariation with Tubb3
Ncald,Amacrine,
Fam83h,,
Cgrrf1,RGC candidate Dec18,
Efcab9,,
Cyb5d2,,
4930512B01Rik,,
Ppp6c,,
Fam161a,Unknown,GeneNetwork
Gnl1,,
Eaf1,,
Sft2d3,,
Optn,Unknown,Wang et al 2007: PMC2885852
Dolpp1,,
Nmi,RGC master,RGC_Type_6
Pou3f2,,
Pot1a,,
Pknox2,RGC master stressed,RGC_Type_7.  HIgh RGC expression in Pete Williams and stress-down response.
Fnta,,
Snx9,RGC master,RGC_Type_35
D10Jhu81e,,
Lyrm4,,
Rnf135,,
Lsm2,,
Gpr137,RGC candidate,High covariation with Rbpms2
mt-Nd2,"Mitochondrial, housekeeping",SY_informative
Gm12185,,
Ilf2,,
Isg20,,
Uba52,"RGC housekeeping, stress",Test candidate for in situ. High positive covariation with ATF4 in D2 glaucoma data of Pete Williams. High RGC/retina enrichment in Geisert.  HIgh RGC expression in Pete Williams and stress-up response.
Igsf10,,
Mtcp1,,
Npr1,RGC master,RGC_Type_35
2210404O09Rik,,
Prkg1,"Housekeeping, stress","Geisert highly RGC enriched expression relative whole retina, very high single cell hit rate, decreased expression in early glaucoma"
Sephs1,,
Rpl26,RGC housekeeping,
Gnmt,,
Eif3e,,
Hook3,,
4931403E22Rik,,
Pmf1,,
Fas,,
mt-Rnr1,"Mitochondrial, housekeeping",
Ankrd54,,
Slirp,,
Pafah1b2,,
Lin37,,
Tvp23a,,
Anp32b,,
Cideb,,
Zfp943,,
Cul5,RGC candidate,BXD_Thy1_Cov
Cenpo,,
Tpm4,"Pericyte, endothelium",SC-RNA-Seq
Trim13,,
Zfp62,,
Erlec1,,
Gon4l,,
Snora57,,
Hook2,,
Cyth2,,
Clip4,,
Gm37126,RGC high THY/CD ratio,RGC high THY/CD ratio
Rps29,"RGC housekeeping, stress",
Sirt5,,
Psmg2,,
Rnu12,,
Serpine3,,
Impg1,,
Traf2,,
Gm24148,,
Ghitm,,
Pdzd8,,
Ppap2c,,
4930405O22Rik,SY_informative,SY_informative
Rnf215,,
Eef1b2,,
Prmt10,,
1110019D14Rik,,
Dcaf11,,
Abcb4,,
Klf15,,
Glod4,,
Dnajc4,,
Prickle3,,
Rpl17,Housekeeping,
Tcp11,,
Smarcb1,Unknown,
